i1	V(N001,N002)	V(N002,N003)	V(N003,N004)	V(n004)
0.000000000000000e+000	0.000000e+000	7.127969e-004	9.235044e-014	5.754705e-018
1.000000000000000e-004	5.955625e-001	2.253917e+000	4.798876e-001	5.058247e-002
2.000000000000000e-004	6.134906e-001	2.376451e+000	5.113541e-001	7.064922e-002
3.000000000000000e-004	6.239963e-001	2.446663e+000	5.298162e-001	8.340275e-002
4.000000000000000e-004	6.314194e-001	2.497612e+000	5.428787e-001	9.275880e-002
5.000000000000000e-004	6.372423e-001	2.537713e+000	5.531367e-001	1.002152e-001
6.000000000000001e-004	6.419318e-001	2.570122e+000	5.614097e-001	1.063143e-001
7.000000000000001e-004	6.459036e-001	2.597655e+000	5.684249e-001	1.115230e-001
8.000000000000002e-004	6.493526e-001	2.621638e+000	5.745243e-001	1.160721e-001
9.000000000000002e-004	6.523969e-001	2.642874e+000	5.799147e-001	1.201068e-001
1.000000000000000e-003	6.551208e-001	2.661934e+000	5.847438e-001	1.237312e-001
1.100000000000000e-003	6.575851e-001	2.679234e+000	5.891184e-001	1.270208e-001
1.200000000000000e-003	6.598353e-001	2.695077e+000	5.931175e-001	1.300324e-001
1.300000000000000e-003	6.619053e-001	2.709697e+000	5.968010e-001	1.328094e-001
1.400000000000000e-003	6.638222e-001	2.723276e+000	6.002157e-001	1.353856e-001
1.500000000000001e-003	6.656065e-001	2.735957e+000	6.033987e-001	1.377882e-001
1.600000000000001e-003	6.672757e-001	2.747856e+000	6.063799e-001	1.400392e-001
1.700000000000001e-003	6.688435e-001	2.759068e+000	6.091839e-001	1.421565e-001
1.800000000000001e-003	6.703222e-001	2.769671e+000	6.118307e-001	1.441553e-001
1.900000000000001e-003	6.717205e-001	2.779731e+000	6.143375e-001	1.460481e-001
2.000000000000001e-003	6.730471e-001	2.789304e+000	6.167187e-001	1.478455e-001
2.100000000000000e-003	6.743090e-001	2.798438e+000	6.189864e-001	1.495569e-001
2.200000000000000e-003	6.755126e-001	2.807173e+000	6.211512e-001	1.511900e-001
2.300000000000000e-003	6.766620e-001	2.815544e+000	6.232224e-001	1.527517e-001
2.400000000000000e-003	6.777627e-001	2.823584e+000	6.252078e-001	1.542481e-001
2.500000000000000e-003	6.788187e-001	2.831318e+000	6.271144e-001	1.556844e-001
2.599999999999999e-003	6.798332e-001	2.838771e+000	6.289485e-001	1.570652e-001
2.699999999999999e-003	6.808095e-001	2.845964e+000	6.307155e-001	1.583947e-001
2.799999999999999e-003	6.817498e-001	2.852916e+000	6.324203e-001	1.596766e-001
2.899999999999999e-003	6.826575e-001	2.859644e+000	6.340672e-001	1.609141e-001
2.999999999999999e-003	6.835346e-001	2.866163e+000	6.356603e-001	1.621104e-001
3.099999999999999e-003	6.843827e-001	2.872486e+000	6.372030e-001	1.632679e-001
3.199999999999998e-003	6.852038e-001	2.878627e+000	6.386985e-001	1.643893e-001
3.299999999999998e-003	6.859996e-001	2.884596e+000	6.401498e-001	1.654766e-001
3.399999999999998e-003	6.867719e-001	2.890404e+000	6.415593e-001	1.665319e-001
3.499999999999998e-003	6.875215e-001	2.896060e+000	6.429297e-001	1.675570e-001
3.599999999999998e-003	6.882501e-001	2.901573e+000	6.442631e-001	1.685537e-001
3.699999999999998e-003	6.889589e-001	2.906949e+000	6.455614e-001	1.695234e-001
3.799999999999997e-003	6.896486e-001	2.912198e+000	6.468268e-001	1.704677e-001
3.899999999999997e-003	6.903205e-001	2.917325e+000	6.480606e-001	1.713877e-001
3.999999999999998e-003	6.909752e-001	2.922336e+000	6.492647e-001	1.722847e-001
4.099999999999998e-003	6.916139e-001	2.927238e+000	6.504405e-001	1.731599e-001
4.199999999999998e-003	6.922369e-001	2.932035e+000	6.515893e-001	1.740143e-001
4.299999999999998e-003	6.928461e-001	2.936732e+000	6.527123e-001	1.748488e-001
4.399999999999999e-003	6.934404e-001	2.941335e+000	6.538109e-001	1.756644e-001
4.499999999999999e-003	6.940215e-001	2.945847e+000	6.548861e-001	1.764619e-001
4.599999999999999e-003	6.945899e-001	2.950272e+000	6.559388e-001	1.772422e-001
4.699999999999999e-003	6.951463e-001	2.954614e+000	6.569702e-001	1.780058e-001
4.800000000000000e-003	6.956909e-001	2.958876e+000	6.579811e-001	1.787537e-001
4.900000000000000e-003	6.962242e-001	2.963062e+000	6.589722e-001	1.794862e-001
5.000000000000000e-003	6.967466e-001	2.967175e+000	6.599445e-001	1.802042e-001
5.100000000000000e-003	6.972589e-001	2.971218e+000	6.608987e-001	1.809082e-001
5.200000000000001e-003	6.977615e-001	2.975193e+000	6.618354e-001	1.815986e-001
5.300000000000001e-003	6.982541e-001	2.979104e+000	6.627554e-001	1.822761e-001
5.400000000000001e-003	6.987374e-001	2.982952e+000	6.636593e-001	1.829411e-001
