time	V(N004,N005)
Step Information: C=1µ  (Run: 1/4)
0.000000000000000e+000	0.000000e+000
1.011712147043359e-009	0.000000e+000
1.929287984658696e-007	0.000000e+000
3.848927509840410e-007	0.000000e+000
7.688206560203840e-007	0.000000e+000
1.536676466093070e-006	0.000000e+000
3.072388086238442e-006	0.000000e+000
6.143811326529186e-006	9.313226e-010
9.918347781692812e-006	3.725290e-009
1.400425279659215e-005	7.450581e-009
1.781649229737723e-005	1.490116e-008
2.241238344378288e-005	2.980232e-008
2.776430113976109e-005	5.587935e-008
3.421325663519797e-005	1.117587e-007
4.148655134585337e-005	1.937151e-007
4.972487287151787e-005	3.576279e-007
5.860560344937903e-005	6.407499e-007
6.814409970143860e-005	1.117587e-006
7.806087319387949e-005	1.952052e-006
8.834392363229839e-005	3.397465e-006
9.880769740595534e-005	5.885959e-006
1.094514174426398e-004	1.011789e-005
1.201691452064441e-004	1.740456e-005
1.309705318151540e-004	2.989173e-005
1.417994678325062e-004	5.123019e-005
1.526688392643429e-004	8.782744e-005
1.635503751534504e-004	1.504421e-004
1.744569184027043e-004	2.577603e-004
1.853767743803316e-004	4.413724e-004
1.963246179516722e-004	7.558465e-004
2.073038274136594e-004	1.294076e-003
2.183402992557563e-004	2.215356e-003
2.294650549226729e-004	3.791273e-003
2.407443461367347e-004	6.486416e-003
2.522873410870215e-004	1.109344e-002
2.643019358708356e-004	1.897991e-002
2.771855479095212e-004	3.255296e-002
2.917411720621093e-004	5.631697e-002
3.103054967418465e-004	9.946674e-002
3.297618103063650e-004	1.574099e-001
3.502830984344953e-004	2.287768e-001
3.828988415573861e-004	3.514354e-001
4.194219394319584e-004	4.937661e-001
4.698477791076160e-004	6.945502e-001
5.627508249468210e-004	1.069387e+000
6.604070749468210e-004	1.466079e+000
7.580633249468210e-004	1.863091e+000
8.557195749468210e-004	2.258230e+000
9.533758249468209e-004	2.650055e+000
1.051032074946821e-003	3.037520e+000
1.148688324946821e-003	3.419743e+000
1.246344574946821e-003	3.795948e+000
1.344000824946821e-003	4.165435e+000
1.441657074946821e-003	4.527558e+000
