time	V(N004,N005)	V(n003)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.011712147043218e-009	2.273737e-013	-4.537862e-006
3.511203005865277e-006	7.070588e-009	-1.575166e-002
7.021394299583512e-006	4.424740e-008	-3.149794e-002
1.053158559330175e-005	1.115306e-007	-4.724335e-002
1.404177688701998e-005	2.089203e-007	-6.298791e-002
1.755196818073821e-005	3.364165e-007	-7.873161e-002
2.106215947445645e-005	4.940191e-007	-9.447446e-002
2.457235076817467e-005	6.817281e-007	-1.102165e-001
4.914373669040165e-005	6.757677e-006	-2.203770e-001
9.828650853485560e-005	6.663799e-005	-4.405724e-001
1.315167036248033e-004	2.636313e-004	-5.893518e-001
1.581533941741497e-004	8.180439e-004	-7.085063e-001
1.781615021470213e-004	1.988351e-003	-7.979402e-001
1.956905606230210e-004	4.414618e-003	-8.762375e-001
2.120341790122525e-004	9.321749e-003	-9.491885e-001
2.304082968332484e-004	1.988888e-002	-1.031144e+000
2.470097145971269e-004	3.660494e-002	-1.105132e+000
2.668603199059594e-004	6.860048e-002	-1.193509e+000
2.958691593754085e-004	1.349104e-001	-1.322487e+000
3.328406211181229e-004	2.417124e-001	-1.486579e+000
3.734696914663910e-004	3.776642e-001	-1.666471e+000
4.262156913413322e-004	5.705643e-001	-1.899193e+000
5.058837100558458e-004	8.771154e-001	-2.248902e+000
6.035399600558458e-004	1.263497e+000	-2.674546e+000
7.011962100558457e-004	1.655448e+000	-3.096291e+000
7.988524600558457e-004	2.048712e+000	-3.513413e+000
8.965087100558457e-004	2.440261e+000	-3.925349e+000
9.941649600558457e-004	2.828539e+000	-4.331541e+000
1.091821210055846e-003	3.212451e+000	-4.731440e+000
1.189477460055846e-003	3.591052e+000	-5.124504e+000
1.287133710055846e-003	3.963527e+000	-5.510201e+000
1.384789960055846e-003	4.329149e+000	-5.888010e+000
1.482446210055846e-003	4.687258e+000	-6.257418e+000
1.580102460055846e-003	5.037241e+000	-6.617926e+000
1.677758710055846e-003	5.378524e+000	-6.969044e+000
1.873071210055846e-003	6.032844e+000	-7.641227e+000
2.068383710055847e-003	6.646184e+000	-8.270328e+000
2.263696210055847e-003	7.214883e+000	-8.852941e+000
2.556664960055847e-003	7.977039e+000	-9.632868e+000
2.849633710055847e-003	8.621472e+000	-1.029167e+001
3.142602460055848e-003	9.139947e+000	-1.082133e+001
3.435571210055848e-003	9.525887e+000	-1.121541e+001
3.728539960055848e-003	9.774429e+000	-1.146911e+001
4.021508710055848e-003	9.882450e+000	-1.157936e+001
4.314477460055846e-003	9.848601e+000	-1.154481e+001
4.607446210055845e-003	9.673318e+000	-1.136591e+001
4.900414960055844e-003	9.358819e+000	-1.104484e+001
