time	V(N002,N003)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.256562496768311e-004	4.470348e-008	4.246952e-001
3.233124996768311e-004	1.132488e-006	6.077158e-001
4.209687496768311e-004	3.778934e-005	7.899129e-001
5.186249996768311e-004	1.137257e-003	9.710395e-001
6.162812496768311e-004	1.530856e-002	1.150850e+000
7.139374996768310e-004	6.953943e-002	1.329101e+000
8.115937496768310e-004	1.753238e-001	1.505551e+000
9.092499996768310e-004	3.135891e-001	1.679960e+000
1.006906249676831e-003	4.638156e-001	1.852093e+000
1.299874999676831e-003	9.273639e-001	2.352515e+000
1.592843749676832e-003	1.378454e+000	2.824268e+000
1.885812499676832e-003	1.801867e+000	3.261606e+000
2.178781249676832e-003	2.189350e+000	3.659197e+000
2.471749999676832e-003	2.534756e+000	4.012197e+000
2.764718749676833e-003	2.833097e+000	4.316304e+000
3.057687499676833e-003	3.080272e+000	4.567812e+000
3.350656249676833e-003	3.272974e+000	4.763657e+000
3.643624999676833e-003	3.408665e+000	4.901451e+000
3.936593749676833e-003	3.485575e+000	4.979517e+000
4.229562499676832e-003	3.502705e+000	4.996901e+000
4.522531249676831e-003	3.459835e+000	4.953393e+000
4.815499999676830e-003	3.357519e+000	4.849523e+000
5.108468749676829e-003	3.197087e+000	4.686555e+000
5.401437499676828e-003	2.980641e+000	4.466477e+000
5.694406249676827e-003	2.711046e+000	4.191971e+000
5.987374999676826e-003	2.391946e+000	3.866381e+000
6.280343749676825e-003	2.027805e+000	3.493675e+000
6.573312499676824e-003	1.624055e+000	3.078395e+000
6.866281249676823e-003	1.187561e+000	2.625602e+000
7.159249999676822e-003	7.284220e-001	2.140812e+000
7.354562499676821e-003	4.199939e-001	1.802747e+000
7.452218749676821e-003	2.720271e-001	1.629935e+000
7.549874999676820e-003	1.403642e-001	1.454913e+000
7.647531249676820e-003	4.826808e-002	1.277920e+000
7.745187499676820e-003	8.374453e-003	1.099195e+000
7.842843749676819e-003	4.389882e-004	9.189799e-001
7.940499999676819e-003	1.385808e-005	7.375197e-001
8.038156249676819e-003	4.172325e-007	5.550600e-001
8.135812499676818e-003	1.490116e-008	3.718480e-001
8.331124999676818e-003	0.000000e+000	4.161198e-003
8.526437499676817e-003	1.490116e-008	-3.635482e-001
8.624093749676817e-003	3.278255e-007	-5.467883e-001
8.721749999676816e-003	1.180172e-005	-7.292874e-001
8.819406249676816e-003	3.767312e-004	-9.107981e-001
8.917062499676816e-003	7.532299e-003	-1.091075e+000
9.014718749676815e-003	4.534632e-002	-1.269872e+000
9.112374999676815e-003	1.351588e-001	-1.446949e+000
9.210031249676814e-003	2.656108e-001	-1.622065e+000
9.307687499676814e-003	4.130976e-001	-1.794983e+000
9.502999999676813e-003	7.212272e-001	-2.133289e+000
9.795968749676812e-003	1.180766e+000	-2.618516e+000
1.008893749967681e-002	1.617696e+000	-3.071834e+000
1.038190624967681e-002	2.021997e+000	-3.487719e+000
1.067487499967681e-002	2.386778e+000	-3.861102e+000
1.096784374967681e-002	2.706593e+000	-4.187433e+000
1.126081249967681e-002	2.976963e+000	-4.462736e+000
1.155378124967681e-002	3.194234e+000	-4.683656e+000
1.184674999967681e-002	3.355528e+000	-4.847500e+000
1.213971874967680e-002	3.458732e+000	-4.952273e+000
1.243268749967680e-002	3.502504e+000	-4.996696e+000
1.272565624967680e-002	3.486278e+000	-4.980230e+000
1.301862499967680e-002	3.410264e+000	-4.903075e+000
1.331159374967680e-002	3.275448e+000	-4.766171e+000
1.360456249967680e-002	3.083589e+000	-4.571185e+000
1.389753124967680e-002	2.837213e+000	-4.320495e+000
1.419049999967680e-002	2.539614e+000	-4.017155e+000
1.448346874967680e-002	2.194884e+000	-3.664861e+000
1.477643749967680e-002	1.807994e+000	-3.267908e+000
1.506940624967679e-002	1.385072e+000	-2.831131e+000
1.536237499967679e-002	9.343575e-001	-2.359854e+000
1.565534374967679e-002	4.707552e-001	-1.859820e+000
1.575299999967679e-002	3.202187e-001	-1.687796e+000
1.585065624967679e-002	1.810948e-001	-1.513484e+000
1.594831249967680e-002	7.328874e-002	-1.337122e+000
1.604596874967680e-002	1.667464e-002	-1.158947e+000
1.614362499967680e-002	1.314372e-003	-9.792020e-001
1.624128124967680e-002	4.422665e-005	-7.981297e-001
1.633893749967680e-002	1.341105e-006	-6.159757e-001
1.643659374967680e-002	4.470348e-008	-4.329869e-001
1.672956249967681e-002	0.000000e+000	1.185046e-001
1.692487499967681e-002	1.043081e-007	4.857783e-001
1.702253124967681e-002	3.635883e-006	6.685520e-001
1.712018749967681e-002	1.201928e-004	8.504196e-001
1.721784374967681e-002	3.150880e-003	1.031135e+000
1.731549999967682e-002	2.746326e-002	1.210452e+000
1.741315624967682e-002	9.959304e-002	1.388130e+000
1.751081249967682e-002	2.191680e-001	1.563926e+000
1.760846874967682e-002	3.629984e-001	1.737602e+000
1.770612499967682e-002	5.150324e-001	1.908924e+000
1.799909374967683e-002	9.785042e-001	2.406456e+000
1.829206249967683e-002	1.427045e+000	2.874662e+000
1.858503124967683e-002	1.846820e+000	3.307838e+000
1.887799999967684e-002	2.229906e+000	3.700705e+000
1.917096874967684e-002	2.570311e+000	4.048474e+000
1.946393749967685e-002	2.863155e+000	4.346909e+000
1.975690624967685e-002	3.104427e+000	4.592371e+000
2.004987499967685e-002	3.290906e+000	4.781871e+000
2.034284374967686e-002	3.420138e+000	4.913099e+000
2.063581249967686e-002	3.490441e+000	4.984455e+000
2.092878124967687e-002	3.500901e+000	4.995070e+000
2.122174999967687e-002	3.451384e+000	4.944816e+000
2.151471874967688e-002	3.342532e+000	4.834303e+000
2.180768749967688e-002	3.175758e+000	4.664879e+000
2.210065624967688e-002	2.953251e+000	4.438609e+000
2.239362499967689e-002	2.677961e+000	4.158250e+000
2.268659374967689e-002	2.353620e+000	3.827218e+000
2.297956249967690e-002	1.984790e+000	3.449547e+000
2.327253124967690e-002	1.577028e+000	3.029840e+000
2.356549999967690e-002	1.137423e+000	2.573211e+000
2.385846874967691e-002	6.767318e-001	2.085225e+000
2.405378124967691e-002	3.697155e-001	1.745403e+000
2.415143749967691e-002	2.253534e-001	1.571828e+000
2.424909374967691e-002	1.041422e-001	1.396123e+000
2.434674999967692e-002	2.953756e-002	1.218525e+000
2.444440624967692e-002	3.581405e-003	1.039277e+000
2.454206249967692e-002	1.405478e-004	8.586195e-001
2.463971874967692e-002	4.321337e-006	6.767987e-001
2.473737499967692e-002	1.341105e-007	4.940606e-001
2.503034374967693e-002	0.000000e+000	-5.717599e-002
2.522565624967693e-002	4.470348e-008	-4.246952e-001
2.532331249967693e-002	1.132488e-006	-6.077158e-001
2.542096874967693e-002	3.778934e-005	-7.899129e-001
2.551862499967693e-002	1.137257e-003	-9.710395e-001
2.561628124967693e-002	1.530856e-002	-1.150850e+000
2.571393749967693e-002	6.953943e-002	-1.329101e+000
2.581159374967694e-002	1.753238e-001	-1.505551e+000
2.590924999967694e-002	3.135891e-001	-1.679960e+000
2.600690624967694e-002	4.638156e-001	-1.852093e+000
2.629987499967694e-002	9.273639e-001	-2.352515e+000
2.659284374967695e-002	1.378454e+000	-2.824268e+000
2.688581249967695e-002	1.801867e+000	-3.261606e+000
2.717878124967696e-002	2.189350e+000	-3.659197e+000
2.747174999967696e-002	2.534756e+000	-4.012197e+000
2.756940624967696e-002	2.639651e+000	-4.119194e+000
2.786237499967697e-002	2.921353e+000	-4.406149e+000
2.815534374967697e-002	3.150700e+000	-4.639411e+000
2.844831249967697e-002	3.324642e+000	-4.816136e+000
2.874128124967698e-002	3.440898e+000	-4.934172e+000
2.903424999967698e-002	3.497954e+000	-4.992079e+000
2.932721874967699e-002	3.495071e+000	-4.989153e+000
2.962018749967699e-002	3.432285e+000	-4.925429e+000
2.991315624967699e-002	3.310411e+000	-4.801683e+000
3.020612499967700e-002	3.131037e+000	-4.619423e+000
3.049909374967700e-002	2.896517e+000	-4.380871e+000
3.079206249967701e-002	2.609977e+000	-4.088934e+000
3.108503124967701e-002	2.275324e+000	-3.747168e+000
3.137799999967701e-002	1.897321e+000	-3.359739e+000
3.167096874967702e-002	1.481796e+000	-2.931368e+000
3.196393749967702e-002	1.036352e+000	-2.467276e+000
3.225690624967702e-002	5.734397e-001	-1.973117e+000
3.235456249967703e-002	4.199939e-001	-1.802747e+000
3.245221874967703e-002	2.720271e-001	-1.629935e+000
3.254987499967703e-002	1.403642e-001	-1.454913e+000
3.264753124967703e-002	4.826808e-002	-1.277920e+000
3.274518749967703e-002	8.374453e-003	-1.099195e+000
3.284284374967703e-002	4.389882e-004	-9.189799e-001
3.294049999967703e-002	1.385808e-005	-7.375197e-001
3.303815624967704e-002	4.172325e-007	-5.550600e-001
3.313581249967704e-002	1.490116e-008	-3.718480e-001
3.333112499967704e-002	0.000000e+000	-4.161198e-003
3.352643749967704e-002	1.490116e-008	3.635482e-001
3.362409374967704e-002	3.278255e-007	5.467883e-001
3.372174999967705e-002	1.180172e-005	7.292874e-001
3.381940624967705e-002	3.767312e-004	9.107981e-001
3.391706249967705e-002	7.532299e-003	1.091075e+000
3.401471874967705e-002	4.534632e-002	1.269872e+000
3.411237499967705e-002	1.351588e-001	1.446949e+000
3.421003124967705e-002	2.656108e-001	1.622065e+000
3.430768749967705e-002	4.130976e-001	1.794983e+000
3.450299999967706e-002	7.212272e-001	2.133289e+000
3.479596874967706e-002	1.180765e+000	2.618516e+000
3.508893749967706e-002	1.617696e+000	3.071834e+000
3.538190624967707e-002	2.021997e+000	3.487719e+000
3.567487499967707e-002	2.386778e+000	3.861102e+000
3.596784374967708e-002	2.706593e+000	4.187433e+000
3.626081249967708e-002	2.976963e+000	4.462736e+000
3.655378124967709e-002	3.194234e+000	4.683656e+000
3.684674999967709e-002	3.355528e+000	4.847500e+000
3.713971874967709e-002	3.458732e+000	4.952273e+000
3.743268749967710e-002	3.502504e+000	4.996696e+000
3.772565624967710e-002	3.486278e+000	4.980230e+000
3.801862499967711e-002	3.410264e+000	4.903075e+000
3.831159374967711e-002	3.275448e+000	4.766171e+000
3.860456249967711e-002	3.083589e+000	4.571185e+000
3.889753124967712e-002	2.837213e+000	4.320495e+000
3.919049999967712e-002	2.539614e+000	4.017155e+000
3.948346874967713e-002	2.194884e+000	3.664861e+000
3.977643749967713e-002	1.807994e+000	3.267908e+000
4.006940624967714e-002	1.385072e+000	2.831131e+000
4.036237499967714e-002	9.343575e-001	2.359854e+000
4.065534374967714e-002	4.707552e-001	1.859820e+000
4.075299999967715e-002	3.202187e-001	1.687796e+000
4.085065624967715e-002	1.810948e-001	1.513484e+000
4.094831249967715e-002	7.328874e-002	1.337122e+000
4.104596874967715e-002	1.667464e-002	1.158947e+000
4.114362499967715e-002	1.314372e-003	9.792020e-001
4.124128124967715e-002	4.422665e-005	7.981297e-001
4.133893749967715e-002	1.341105e-006	6.159757e-001
4.143659374967715e-002	4.470348e-008	4.329869e-001
4.172956249967716e-002	0.000000e+000	-1.185046e-001
4.192487499967716e-002	1.192093e-007	-4.857783e-001
4.202253124967716e-002	3.635883e-006	-6.685520e-001
4.212018749967716e-002	1.201928e-004	-8.504196e-001
4.221784374967717e-002	3.150880e-003	-1.031135e+000
4.231549999967717e-002	2.746326e-002	-1.210452e+000
4.241315624967717e-002	9.959304e-002	-1.388130e+000
4.251081249967717e-002	2.191680e-001	-1.563926e+000
4.260846874967717e-002	3.629984e-001	-1.737602e+000
4.270612499967717e-002	5.150324e-001	-1.908924e+000
4.299909374967718e-002	9.785042e-001	-2.406456e+000
4.329206249967718e-002	1.427045e+000	-2.874662e+000
4.358503124967719e-002	1.846820e+000	-3.307838e+000
4.387799999967719e-002	2.229906e+000	-3.700705e+000
4.417096874967719e-002	2.570311e+000	-4.048474e+000
4.446393749967720e-002	2.863155e+000	-4.346909e+000
4.475690624967720e-002	3.104427e+000	-4.592371e+000
4.504987499967721e-002	3.290906e+000	-4.781871e+000
4.534284374967721e-002	3.420138e+000	-4.913099e+000
4.563581249967721e-002	3.490441e+000	-4.984455e+000
4.592878124967722e-002	3.500901e+000	-4.995070e+000
4.622174999967722e-002	3.451384e+000	-4.944816e+000
4.651471874967723e-002	3.342532e+000	-4.834303e+000
4.680768749967723e-002	3.175758e+000	-4.664879e+000
4.710065624967724e-002	2.953251e+000	-4.438609e+000
4.739362499967724e-002	2.677961e+000	-4.158250e+000
4.768659374967724e-002	2.353620e+000	-3.827218e+000
4.797956249967725e-002	1.984790e+000	-3.449547e+000
4.827253124967725e-002	1.577028e+000	-3.029840e+000
4.856549999967726e-002	1.137423e+000	-2.573211e+000
4.885846874967726e-002	6.767318e-001	-2.085225e+000
4.905378124967726e-002	3.697155e-001	-1.745403e+000
4.915143749967726e-002	2.253534e-001	-1.571828e+000
4.924909374967727e-002	1.041422e-001	-1.396123e+000
4.934674999967727e-002	2.953756e-002	-1.218525e+000
4.944440624967727e-002	3.581405e-003	-1.039277e+000
4.954206249967727e-002	1.405478e-004	-8.586195e-001
4.963971874967727e-002	4.321337e-006	-6.767987e-001
4.973737499967727e-002	1.341105e-007	-4.940606e-001
5.003034374967728e-002	0.000000e+000	5.717599e-002
5.022565624967728e-002	4.470348e-008	4.246952e-001
5.032331249967728e-002	1.132488e-006	6.077158e-001
5.042096874967728e-002	3.778934e-005	7.899129e-001
5.051862499967728e-002	1.137257e-003	9.710395e-001
5.061628124967729e-002	1.530856e-002	1.150850e+000
5.071393749967729e-002	6.953943e-002	1.329101e+000
5.081159374967729e-002	1.753238e-001	1.505551e+000
5.090924999967729e-002	3.135891e-001	1.679960e+000
5.100690624967729e-002	4.638156e-001	1.852093e+000
5.129987499967730e-002	9.273639e-001	2.352515e+000
5.159284374967730e-002	1.378454e+000	2.824268e+000
5.188581249967730e-002	1.801867e+000	3.261606e+000
5.217878124967731e-002	2.189350e+000	3.659197e+000
5.247174999967731e-002	2.534756e+000	4.012197e+000
5.276471874967732e-002	2.833097e+000	4.316304e+000
5.305768749967732e-002	3.080272e+000	4.567812e+000
5.335065624967732e-002	3.272974e+000	4.763657e+000
5.364362499967733e-002	3.408665e+000	4.901451e+000
5.393659374967733e-002	3.485575e+000	4.979517e+000
5.422956249967734e-002	3.502705e+000	4.996901e+000
5.452253124967734e-002	3.459835e+000	4.953393e+000
5.481549999967735e-002	3.357519e+000	4.849523e+000
5.510846874967735e-002	3.197087e+000	4.686555e+000
5.540143749967735e-002	2.980641e+000	4.466477e+000
5.569440624967736e-002	2.711046e+000	4.191971e+000
5.598737499967736e-002	2.391946e+000	3.866381e+000
5.628034374967737e-002	2.027805e+000	3.493675e+000
5.657331249967737e-002	1.624055e+000	3.078395e+000
5.686628124967737e-002	1.187561e+000	2.625602e+000
5.715924999967738e-002	7.284220e-001	2.140812e+000
5.735456249967738e-002	4.199939e-001	1.802747e+000
5.745221874967738e-002	2.720271e-001	1.629935e+000
5.754987499967738e-002	1.403642e-001	1.454913e+000
5.764753124967739e-002	4.826808e-002	1.277920e+000
